original_output, original_output_real, original_output_img, fft_output_real, fft_output_img, inverse_fft_output_real, inverse_fft_output_img, magnitute_output_fft
-10288, -10288.00, 0.00, 3506.38, 5612.55, -10288.00, 0.00, 6617.81, 0.00, 4875762546843903900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-4751, -4751.00, 0.00, -2125.68, 8676.83, -4751.00, -0.00, 8933.42, -0.00, 4875762545904099800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
3338, 3338.00, 0.00, -1592.19, 2896.72, 3338.00, -0.00, 3305.46, -654722316339231730000000000000000.00, 4875762545316204200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
4222, 4222.00, 0.00, -452.19, 8515.09, 4222.00, 0.00, 8527.09, 0.00, 4875762542846269200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
7690, 7690.00, 0.00, 1565.93, 5612.29, 7690.00, 0.00, 5826.66, 0.00, 4875762545289442400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
8530, 8530.00, 0.00, 2739.78, 8312.16, 8530.00, -0.00, 8752.05, -206297417200411220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 4875762546386312400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-863, -863.00, 0.00, 1160.54, 11914.11, -863.00, -0.00, 11970.50, -0.00, 4875762544690491400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-8336, -8336.00, 0.00, 12.32, -1407.52, -8336.00, 0.00, 1407.58, -0.00, 4875762535823443000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-10299, -10299.00, 0.00, 1281.26, 6840.88, -10299.00, 0.00, 6959.83, -0.00, 4875762544880783200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-4729, -4729.00, 0.00, -855.69, 4570.95, -4729.00, -0.00, 4650.36, -0.00, 4875762544089454700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
3265, 3265.00, 0.00, -3056.40, 5388.34, 3265.00, 0.00, 6194.82, -0.00, 4875762546605599600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
4283, 4283.00, 0.00, 1024.38, 7791.54, 4283.00, -0.00, 7858.59, -0.00, 4875762544498439800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
7733, 7733.00, 0.00, 2473.72, 3311.77, 7733.00, -0.00, 4133.65, 352618439809094710000000000000000000000000000000000000000000000000.00, 4875762546162449400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
8537, 8537.00, 0.00, 512.98, 3254.01, 8537.00, -0.00, 3294.19, 0.00, 4875762543146675300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-836, -836.00, 0.00, -255.32, 2045.73, -836.00, -0.00, 2061.61, 12679817748443820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 4875762541783111800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-8365, -8365.00, 0.00, -207.44, 2206.88, -8365.00, 0.00, 2216.61, 21404695171286279000000000000000000000.00, 4875762541325306600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-10211, -10211.00, 0.00, 642.63, 6401.82, -10211.00, 0.00, 6433.99, -0.00, 4875762543533553800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
-4729, -4729.00, 0.00, -555.94, 12094.65, -4729.00, -0.00, 12107.42, 957061096278336720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 4875762543265265100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
3166, 3166.00, 0.00, 218.00, 2185.51, 3166.00, 0.00, 2196.35, -215069194902429040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 4875762541418123000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00
