original_output, original_output_real, original_output_img, fft_output_real, fft_output_img, inverse_fft_output_real, inverse_fft_output_img, magnitute_output_fft
14584, 14584.00, 0.00, -2448.69, 14621.16, 14584.00, 0.00, 14824.79, 0.00, 0.00, 0.00
6696, 6696.00, 0.00, -593.38, 11018.31, 6696.00, -0.00, 11034.28, 533338218819635540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
-5087, -5087.00, 0.00, -2550.70, 476.30, -5087.00, 0.00, 2594.78, -109547374011351580000000000000000000000000000000000000000000.00, 0.00, 0.00
-14154, -14154.00, 0.00, -4814.42, 7557.04, -14154.00, -0.00, 8960.33, 3693208518670383400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
-15158, -15158.00, 0.00, -4019.44, 10369.33, -15158.00, 0.00, 11121.10, 0.00, 0.00, 0.00
-7117, -7117.00, 0.00, 2506.07, 11893.18, -7117.00, 0.00, 12154.35, 0.00, 0.00, 0.00
5296, 5296.00, 0.00, -483.49, 6571.16, 5296.00, -0.00, 6588.92, -0.00, 0.00, 0.00
14229, 14229.00, 0.00, 1810.95, 12353.53, 14229.00, 0.00, 12485.56, 0.00, 0.00, 0.00
14604, 14604.00, 0.00, 2926.16, 6635.42, 14604.00, -0.00, 7251.99, -1600813752145308200000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
6740, 6740.00, 0.00, -2139.06, 1520.36, 6740.00, 0.00, 2624.32, 0.00, 0.00, 0.00
-5090, -5090.00, 0.00, 1395.68, 8411.18, -5090.00, -0.00, 8526.19, 0.00, 0.00, 0.00
-14160, -14160.00, 0.00, -2652.60, 8235.12, -14160.00, -0.00, 8651.79, -33257972440265599000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
-15134, -15134.00, 0.00, -2723.70, 6511.33, -15134.00, 0.00, 7058.04, 2716923240546396000000000000000000000000000000.00, 0.00, 0.00
-7103, -7103.00, 0.00, 406.15, 11598.86, -7103.00, -0.00, 11605.97, -0.00, 0.00, 0.00
5285, 5285.00, 0.00, 974.35, 6142.34, 5285.00, 0.00, 6219.14, -0.00, 0.00, 0.00
14234, 14234.00, 0.00, -169.05, 6353.14, 14234.00, 0.00, 6355.39, -721667975639896710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
14592, 14592.00, 0.00, -3695.73, 8907.55, 14592.00, -0.00, 9643.80, -0.00, 0.00, 0.00
6678, 6678.00, 0.00, -375.29, 6528.09, 6678.00, -0.00, 6538.87, 0.00, 0.00, 0.00
-5111, -5111.00, 0.00, 3236.80, 2164.03, -5111.00, -0.00, 3893.57, 0.00, 0.00, 0.00
-14178, -14178.00, 0.00, 3767.68, 6620.71, -14178.00, 0.00, 7617.69, 25492673327297044000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
-15179, -15179.00, 0.00, 2831.57, 8379.58, -15179.00, -0.00, 8845.06, -52306235598527271000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00, 0.00, 0.00
